Date,Team,Acquired,Relinquished,Notes
2023-08-01,Colts,,• Zack Moss,surgery on arm (out indefinitely)
2023-08-01,Cowboys,,• Ronald Jones II,suspended by NFL for 2 games for violating the league's substance abuse policy
2023-08-01,Giants,,• J.C. Hassenauer,placed on IR with triceps injury
2023-08-01,Texans,,• Troy Hairston,placed on IR with back injury
2023-08-02,Broncos,,• Riley Moss,surgery on core muscle (out indefinitely)
2023-08-02,Broncos,,• Tim Patrick,placed on IR with torn right Achilles tendon
2023-08-02,Chiefs,• Tershawn Wharton,,activated from physically unable to perform list
2023-08-02,Lions,,• Emmanuel Moseley,placed on physically unable to perform list with knee injury
2023-08-02,Lions,,• Shane Zylstra,placed on IR with knee injury
2023-08-02,Panthers,,• John Penisini,placed on physically unable to perform list with undisclosed
2023-08-02,Saints,,• Andrew Dowell,placed on IR with knee injury
2023-08-02,Steelers,,• Cory Trice Jr.,placed on IR with right leg injury
2023-08-03,49ers,,• Terrance Mitchell,placed on IR with undisclosed injury
2023-08-03,Broncos,,• Jonas Griffith,placed on IR with torn ACL in left knee
2023-08-03,Commanders,,• David Bada,placed on IR with torn triceps
2023-08-03,Dolphins,,• Bennett Williams,placed on IR with undisclosed injury
2023-08-03,Falcons,,• Ethan Greenidge,placed on IR with leg injury
2023-08-03,Raiders,,• Austin Walter,placed on IR with undisclosed injury
2023-08-03,Saints,,• Scott Lashley,placed on IR with undisclosed injury
2023-08-03,Steelers,,• Alfonzo Graham,placed on IR with undisclosed injury
2023-08-03,Texans,• Chase Winovich,,activated from physically unable to perform list
2023-08-04,49ers,,• Darryl Johnson Jr.,placed on IR with undisclosed
2023-08-04,Chiefs,,• Charles Omenihu,suspended by NFL for 6 games for violating the league's personal conduct policy
2023-08-04,Colts,,• Chris Lammons,suspended by NFL for 3 games for violating the league's personal conduct policy
2023-08-04,Falcons,,• Chris Blair,placed on IR with undisclosed injury
2023-08-04,Falcons,,• Feleipe Franks,placed on IR with undisclosed injury
2023-08-04,Falcons,,• Ikenna Enechukwu,placed on IR with undisclosed injury
2023-08-04,Giants,,• Jeff Smith (Alan),placed on IR with knee injury
2023-08-04,Patriots,,• Terez Hall,placed on IR with undisclosed injury
2023-08-04,Ravens,,• Trayvon Mullen,placed on reserve/non-football injury list with undisclosed
2023-08-04,Saints,,• Alvin Kamara,suspended by NFL for 3 games for violating the league's personal conduct policy
2023-08-04,Seahawks,,• D'Wayne Eskridge / Dee Eskridge,suspended by NFL for 6 games for violating the league's personal conduct policy
2023-08-04,Texans,,• Scott Quessenberry,"placed on IR with with torn ACL, MCL in left knee"
2023-08-04,Texans,• Dylan Deatherage,,activated from IR
2023-08-05,Browns,,• Daylen Baldwin,placed on IR with hamstring injury
2023-08-05,Browns,,• Thomas Graham Jr.,placed on IR with ankle injury
2023-08-05,Colts,,• Ethan Fernea,placed on IR with undisclosed injury
2023-08-05,Colts,,• Jake Witt,placed on IR with hip injury
