season,fantasy_player_id,fantasy_player_name,team,targets,receptions,rec_yards,rec_td,air_yards,yac,adot,ypr,ypt,yac_per_rec,team_targets,target_share,wr_rush_att,wr_rush_yards,wr_rush_td,position,fp,games
1999,00-0000145,D.Alexander,KC,97,53,814,2,0,0,0,15.35849057,8.391752577,0,439,0.22095672,2,82,1,WR,160.6000012,14
1999,00-0000387,R.Anthony,TB,60,30,296,1,0,0,0,9.866666667,4.933333333,0,413,0.14527845,1,2,0,WR,65.80000074,11
1999,00-0000422,J.Armour,BAL,73,31,440,4,0,0,0,14.19354839,6.02739726,0,450,0.162222222,0,0,0,WR,99,11
1999,00-0001317,W.Blackwell,PIT,36,20,186,0,0,0,0,9.3,5.166666667,0,488,0.073770492,0,0,0,WR,38.60000038,9
1999,00-0001532,D.Boston,ARI,72,36,421,2,0,0,0,11.69444444,5.847222222,0,484,0.148760331,5,0,0,WR,90.10000143,13
1999,00-0001627,C.Bradford,GB,85,34,596,5,0,0,0,17.52941176,7.011764706,0,551,0.154264973,0,0,0,WR,125.6000018,13
1999,00-0001783,V.Brisby,NE,30,17,256,0,0,0,0,15.05882353,8.533333333,0,494,0.060728745,0,0,0,WR,42.60000074,9
1999,00-0002005,N.Brown,PHI,31,15,162,1,0,3,0,10.8,5.225806452,0.2,427,0.072599532,0,0,0,WR,37.20000017,6
1999,00-0002058,T.Brown,OAK,132,84,1222,6,0,13,0,14.54761905,9.257575758,0.154761905,0,0,1,4,0,WR,242.6000032,15
1999,00-0002068,T.Brown,NE,51,31,452,1,0,0,0,14.58064516,8.862745098,0,494,0.103238866,0,0,0,WR,82.20000082,11
1999,00-0002099,I.Bruce,STL,107,69,1073,11,0,31,0,15.55072464,10.02803738,0.449275362,0,0,5,32,0,WR,247.5000048,14
1999,00-0002544,C.Calloway,ATL,43,22,314,1,0,11,0,14.27272727,7.302325581,0.5,448,0.095982143,0,0,0,WR,59.40000105,10
1999,00-0002721,C.Carter,MIN,132,87,1187,13,0,78,0,13.64367816,8.992424242,0.896551724,490,0.269387755,0,0,0,WR,283.7000011,14
1999,00-0002942,D.Chiaverini,CLE,76,44,487,4,0,7,0,11.06818182,6.407894737,0.159090909,475,0.16,0,0,0,WR,116.7000005,10
1999,00-0002962,W.Chrebet,NYJ,73,43,543,3,0,0,0,12.62790698,7.438356164,0,439,0.166287016,0,0,0,WR,115.3000013,10
